2014-01-12 18:26:55 - PHP Notice:  Undefined variable: voucher in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\common\home.tpl on line 29
2014-01-12 18:27:06 - PHP Notice:  Undefined variable: voucher in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\common\home.tpl on line 29
2014-01-12 20:51:36 - PHP Notice:  Undefined variable: voucher in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\common\home.tpl on line 29
2014-01-12 20:51:42 - PHP Notice:  Undefined variable: voucher in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\common\home.tpl on line 29
2014-01-12 20:53:26 - PHP Notice:  Undefined variable: voucher in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\common\home.tpl on line 29
2014-01-12 20:53:42 - PHP Notice:  Undefined variable: voucher in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\common\home.tpl on line 29
2014-01-15 21:20:19 - PHP Notice:  Undefined index: telephone in E:\xampp\htdocs\aquagold\cart\catalog\controller\account\register.php on line 369
2014-01-15 21:20:19 - PHP Notice:  Undefined index: address_1 in E:\xampp\htdocs\aquagold\cart\catalog\controller\account\register.php on line 396
2014-01-15 21:20:19 - PHP Notice:  Undefined index: city in E:\xampp\htdocs\aquagold\cart\catalog\controller\account\register.php on line 400
2014-01-15 21:20:19 - PHP Notice:  Undefined index: country_id in E:\xampp\htdocs\aquagold\cart\catalog\controller\account\register.php on line 406
2014-01-15 21:20:19 - PHP Notice:  Undefined index: country_id in E:\xampp\htdocs\aquagold\cart\catalog\controller\account\register.php on line 421
2014-01-15 21:24:19 - PHP Notice:  Undefined variable: country_info in E:\xampp\htdocs\aquagold\cart\catalog\controller\account\register.php on line 408
2014-01-15 21:24:19 - PHP Notice:  Undefined index: country_id in E:\xampp\htdocs\aquagold\cart\catalog\controller\account\register.php on line 421
2014-01-15 21:28:19 - PHP Notice:  Undefined index: telephone in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 14
2014-01-15 21:28:19 - PHP Notice:  Undefined index: fax in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 14
2014-01-15 21:28:19 - PHP Notice:  Undefined index: company in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 18
2014-01-15 21:28:19 - PHP Notice:  Undefined index: company_id in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 18
2014-01-15 21:28:19 - PHP Notice:  Undefined index: tax_id in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 18
2014-01-15 21:28:19 - PHP Notice:  Undefined index: address_1 in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 18
2014-01-15 21:28:19 - PHP Notice:  Undefined index: address_2 in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 18
2014-01-15 21:28:19 - PHP Notice:  Undefined index: city in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 18
2014-01-15 21:28:19 - PHP Notice:  Undefined index: postcode in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 18
